cow,breed,lactation_number_in_data,calvdate,parity,date,mtotalmotion,mtotalsteps,mhoursstanding,mhourslying,mlyingbouts,mrumination,mactivity,predictedcalving,calved,calvingeasescore,date1,daysprior
1359,H,1,30-Oct-11,multiparous,25OCT11:00:00:00,568.6666667,139.1666667,0.689050926,1.310949074,0.666666667,,,1,0,1,25-Oct-11,-5
1359,H,1,30-Oct-11,multiparous,26OCT11:00:00:00,723.75,177.4166667,1.144583333,0.855416667,0.5,,,0,0,1,26-Oct-11,-4
1359,H,1,30-Oct-11,multiparous,27OCT11:00:00:00,568.4166667,152.1666667,1.243912037,0.756087963,0.416666667,,,0,0,1,27-Oct-11,-3
1359,H,1,30-Oct-11,multiparous,28OCT11:00:00:00,745.8333333,184.8333333,1.188101852,0.811898148,0.666666667,,,0,0,1,28-Oct-11,-2
1359,H,1,30-Oct-11,multiparous,29OCT11:00:00:00,1199.166667,261.3333333,1.275416667,0.724583333,0.75,,,0,0,1,29-Oct-11,-1
1359,H,1,30-Oct-11,multiparous,30OCT11:00:00:00,1139.2,240.8,1.141555556,0.858444444,1.6,,,0,1,1,30-Oct-11,0
1366,H,1,20-Jul-12,multiparous,06JUL12:00:00:00,770.0833333,200.8333333,1.100208333,0.899791667,0.833333333,32.83333333,34.64166667,16,0,1,6-Jul-12,-14
1366,H,1,20-Jul-12,multiparous,07JUL12:00:00:00,709.0833333,178.5,1.165115741,0.834884259,0.833333333,22.5,19.65,15,0,1,7-Jul-12,-13
1366,H,1,20-Jul-12,multiparous,08JUL12:00:00:00,905.4166667,226.5,1.098703704,0.901296296,1,33.83333333,42.875,14,0,1,8-Jul-12,-12
1366,H,1,20-Jul-12,multiparous,09JUL12:00:00:00,983.0833333,249.3333333,0.992152778,1.007847222,1.166666667,24,28.20833333,13,0,1,9-Jul-12,-11
1366,H,1,20-Jul-12,multiparous,10JUL12:00:00:00,620.8333333,160.75,0.992268519,1.007731482,0.833333333,21,20.975,12,0,1,10-Jul-12,-10
1366,H,1,20-Jul-12,multiparous,11JUL12:00:00:00,801.4166667,205.0833333,0.943125,1.056875,0.833333333,28.91666667,36.7,11,0,1,11-Jul-12,-9
1366,H,1,20-Jul-12,multiparous,12JUL12:00:00:00,909.6666667,229.5,0.999537037,1.000462963,1.083333333,23.75,23.31666667,10,0,1,12-Jul-12,-8
1366,H,1,20-Jul-12,multiparous,13JUL12:00:00:00,683,179.5833333,0.961782407,1.038217593,1.166666667,27.5,32.4,9,0,1,13-Jul-12,-7
1366,H,1,20-Jul-12,multiparous,14JUL12:00:00:00,853.25,220.9166667,0.984328704,1.015671296,1.25,23.08333333,28.31666667,8,0,1,14-Jul-12,-6
1366,H,1,20-Jul-12,multiparous,15JUL12:00:00:00,651.4166667,167.6666667,0.985740741,1.014259259,1.333333333,26.91666667,28.69166667,7,0,1,15-Jul-12,-5
1366,H,1,20-Jul-12,multiparous,16JUL12:00:00:00,582.3333333,153.3333333,0.933518519,1.066481482,1.25,32.33333333,35.6,6,0,1,16-Jul-12,-4
1366,H,1,20-Jul-12,multiparous,17JUL12:00:00:00,697.3333333,190.9166667,1.049444444,0.950555556,1.083333333,25.25,34.41666667,5,0,1,17-Jul-12,-3
1366,H,1,20-Jul-12,multiparous,18JUL12:00:00:00,827.25,216.4166667,0.956851852,1.043148148,1.083333333,25.58333333,35,4,0,1,18-Jul-12,-2
1366,H,1,20-Jul-12,multiparous,19JUL12:00:00:00,1317.75,348.0833333,0.988287037,1.011712963,1,25.66666667,39.60833333,3,0,1,19-Jul-12,-1
1366,H,1,20-Jul-12,multiparous,20JUL12:00:00:00,1186.6,315,0.960222222,1.039777778,2.4,24,32.14,2,1,1,20-Jul-12,0
1370,H,1,17-Dec-11,multiparous,03DEC11:00:00:00,394.6666667,101.6666667,0.897662037,1.102337963,0.833333333,52.41666667,20.95833333,19,0,1,3-Dec-11,-14
1370,H,1,17-Dec-11,multiparous,04DEC11:00:00:00,504.6666667,129.25,0.883726852,1.116273148,0.916666667,45.66666667,25.05,18,0,1,4-Dec-11,-13
1370,H,1,17-Dec-11,multiparous,05DEC11:00:00:00,356.4166667,95.25,0.907893519,1.092106482,0.5,22.83333333,8.45,17,0,1,5-Dec-11,-12
1370,H,1,17-Dec-11,multiparous,06DEC11:00:00:00,484.5,131.4166667,1.096921296,0.88224537,1.083333333,41.33333333,29.425,16,0,1,6-Dec-11,-11
1370,H,1,17-Dec-11,multiparous,07DEC11:00:00:00,455.1666667,121.9166667,0.915115741,1.084884259,0.666666667,50.5,23.15,15,0,1,7-Dec-11,-10
1370,H,1,17-Dec-11,multiparous,08DEC11:00:00:00,534.8333333,137.0833333,1.08537037,0.91462963,0.75,42.91666667,26.53333333,14,0,1,8-Dec-11,-9
